rank1,rank2,rank3,rank4,rank5,count
Andrew M. Cuomo,Paperboy Love Prince,Zellnor Myrie,Selma K. Bartholomew,Michael Blake,1
Zohran Kwame Mamdani,Candidate Write-in,Brad Lander,Adrienne E. Adams,,1
Paperboy Love Prince,Andrew M. Cuomo,Zohran Kwame Mamdani,Michael Blake,Scott M. Stringer,1
Adrienne E. Adams,Whitney R. Tilson,Zohran Kwame Mamdani,Michael Blake,Andrew M. Cuomo,1
Adrienne E. Adams,Zellnor Myrie,Paperboy Love Prince,Andrew M. Cuomo,,1
Michael Blake,Zohran Kwame Mamdani,Andrew M. Cuomo,Jessica Ramos,,1
Zellnor Myrie,Selma K. Bartholomew,Andrew M. Cuomo,Scott M. Stringer,Zohran Kwame Mamdani,1
Andrew M. Cuomo,Adrienne E. Adams,Zellnor Myrie,Selma K. Bartholomew,,1
Andrew M. Cuomo,Jessica Ramos,Paperboy Love Prince,Zohran Kwame Mamdani,,1
Jessica Ramos,Zellnor Myrie,Candidate Write-in,,,1
Zellnor Myrie,Whitney R. Tilson,Paperboy Love Prince,Scott M. Stringer,Michael Blake,1
Zohran Kwame Mamdani,Selma K. Bartholomew,Brad Lander,Adrienne E. Adams,Andrew M. Cuomo,1
Paperboy Love Prince,Adrienne E. Adams,Zohran Kwame Mamdani,Jessica Ramos,Selma K. Bartholomew,1
Brad Lander,Andrew M. Cuomo,Selma K. Bartholomew,Adrienne E. Adams,,1
Adrienne E. Adams,Andrew M. Cuomo,Jessica Ramos,,,1
Andrew M. Cuomo,Paperboy Love Prince,Michael Blake,Selma K. Bartholomew,Zohran Kwame Mamdani,1
Jessica Ramos,Adrienne E. Adams,Michael Blake,Zohran Kwame Mamdani,Brad Lander,1
Scott M. Stringer,Zellnor Myrie,Jessica Ramos,Michael Blake,Whitney R. Tilson,1
Andrew M. Cuomo,Zohran Kwame Mamdani,Paperboy Love Prince,Candidate Write-in,Michael Blake,1
Jessica Ramos,Scott M. Stringer,Whitney R. Tilson,Michael Blake,Andrew M. Cuomo,1
Zohran Kwame Mamdani,Selma K. Bartholomew,Zellnor Myrie,Michael Blake,,1
Scott M. Stringer,Whitney R. Tilson,Brad Lander,Zohran Kwame Mamdani,Paperboy Love Prince,1
Whitney R. Tilson,Andrew M. Cuomo,Brad Lander,Adrienne E. Adams,Zohran Kwame Mamdani,1
Adrienne E. Adams,Scott M. Stringer,Michael Blake,,,1
Zellnor Myrie,Paperboy Love Prince,Adrienne E. Adams,Jessica Ramos,Zohran Kwame Mamdani,1
Scott M. Stringer,Zohran Kwame Mamdani,Andrew M. Cuomo,,,1
Adrienne E. Adams,Andrew M. Cuomo,Paperboy Love Prince,Michael Blake,Whitney R. Tilson,1
Scott M. Stringer,Zohran Kwame Mamdani,Selma K. Bartholomew,Whitney R. Tilson,Candidate Write-in,1
Selma K. Bartholomew,Scott M. Stringer,Whitney R. Tilson,,,1
Paperboy Love Prince,Selma K. Bartholomew,Whitney R. Tilson,Michael Blake,,1
Andrew M. Cuomo,Candidate Write-in,Brad Lander,Scott M. Stringer,Jessica Ramos,1
Zohran Kwame Mamdani,Zellnor Myrie,,,,1
Andrew M. Cuomo,Whitney R. Tilson,Scott M. Stringer,Zohran Kwame Mamdani,Adrienne E. Adams,1
Zohran Kwame Mamdani,Whitney R. Tilson,Michael Blake,Selma K. Bartholomew,Jessica Ramos,1
Paperboy Love Prince,Zohran Kwame Mamdani,Zellnor Myrie,Adrienne E. Adams,Selma K. Bartholomew,1
Michael Blake,Zohran Kwame Mamdani,Adrienne E. Adams,Whitney R. Tilson,Brad Lander,1
Brad Lander,Scott M. Stringer,Michael Blake,Paperboy Love Prince,Adrienne E. Adams,1
Paperboy Love Prince,Brad Lander,Scott M. Stringer,Michael Blake,Candidate Write-in,1
Paperboy Love Prince,Selma K. Bartholomew,Whitney R. Tilson,Michael Blake,Brad Lander,1
Scott M. Stringer,Andrew M. Cuomo,Adrienne E. Adams,Zellnor Myrie,Paperboy Love Prince,1
Jessica Ramos,Whitney R. Tilson,Michael Blake,Brad Lander,Selma K. Bartholomew,1
Zellnor Myrie,Adrienne E. Adams,Scott M. Stringer,Andrew M. Cuomo,Whitney R. Tilson,1
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Michael Blake,Whitney R. Tilson,1
Brad Lander,Paperboy Love Prince,Adrienne E. Adams,Jessica Ramos,Selma K. Bartholomew,1
Jessica Ramos,Michael Blake,Adrienne E. Adams,Selma K. Bartholomew,Scott M. Stringer,1
Zohran Kwame Mamdani,Candidate Write-in,Selma K. Bartholomew,Michael Blake,Paperboy Love Prince,1
Adrienne E. Adams,Paperboy Love Prince,Zellnor Myrie,Michael Blake,Zohran Kwame Mamdani,1
Adrienne E. Adams,Scott M. Stringer,Zohran Kwame Mamdani,Jessica Ramos,Paperboy Love Prince,1
Scott M. Stringer,Andrew M. Cuomo,Zohran Kwame Mamdani,Zellnor Myrie,Whitney R. Tilson,1
Zohran Kwame Mamdani,Paperboy Love Prince,Candidate Write-in,Michael Blake,Selma K. Bartholomew,1
Paperboy Love Prince,Adrienne E. Adams,Andrew M. Cuomo,Zohran Kwame Mamdani,Scott M. Stringer,1
Adrienne E. Adams,Andrew M. Cuomo,Whitney R. Tilson,Michael Blake,Zohran Kwame Mamdani,1
Adrienne E. Adams,Selma K. Bartholomew,Michael Blake,Brad Lander,Paperboy Love Prince,1
Scott M. Stringer,Adrienne E. Adams,Michael Blake,Jessica Ramos,Whitney R. Tilson,1
Adrienne E. Adams,Andrew M. Cuomo,Scott M. Stringer,Zohran Kwame Mamdani,,1
Zohran Kwame Mamdani,Paperboy Love Prince,Candidate Write-in,Jessica Ramos,Adrienne E. Adams,1
Adrienne E. Adams,Scott M. Stringer,Zohran Kwame Mamdani,,,1
Scott M. Stringer,Adrienne E. Adams,Selma K. Bartholomew,Michael Blake,Jessica Ramos,1
Zohran Kwame Mamdani,Whitney R. Tilson,Andrew M. Cuomo,Zellnor Myrie,Paperboy Love Prince,1
Zohran Kwame Mamdani,Adrienne E. Adams,Whitney R. Tilson,Michael Blake,Candidate Write-in,1
Andrew M. Cuomo,Jessica Ramos,Selma K. Bartholomew,Zellnor Myrie,,1
Scott M. Stringer,Zellnor Myrie,Adrienne E. Adams,Zohran Kwame Mamdani,,1
Selma K. Bartholomew,Andrew M. Cuomo,Adrienne E. Adams,Jessica Ramos,Whitney R. Tilson,1
Adrienne E. Adams,Michael Blake,Jessica Ramos,Zellnor Myrie,Paperboy Love Prince,1
Adrienne E. Adams,Scott M. Stringer,Andrew M. Cuomo,,,1
Jessica Ramos,Adrienne E. Adams,Zellnor Myrie,Selma K. Bartholomew,Brad Lander,1
Scott M. Stringer,Whitney R. Tilson,Zellnor Myrie,Jessica Ramos,Adrienne E. Adams,1
Brad Lander,Scott M. Stringer,Selma K. Bartholomew,Paperboy Love Prince,Jessica Ramos,1
Selma K. Bartholomew,Zellnor Myrie,Jessica Ramos,Adrienne E. Adams,Andrew M. Cuomo,1
Brad Lander,Paperboy Love Prince,Scott M. Stringer,,,1
Jessica Ramos,Andrew M. Cuomo,Adrienne E. Adams,Brad Lander,Scott M. Stringer,1
Zohran Kwame Mamdani,Whitney R. Tilson,Adrienne E. Adams,Michael Blake,Brad Lander,1
Candidate Write-in,Paperboy Love Prince,Adrienne E. Adams,Jessica Ramos,Andrew M. Cuomo,1
Candidate Write-in,Brad Lander,Adrienne E. Adams,Jessica Ramos,Andrew M. Cuomo,1
Michael Blake,Brad Lander,Scott M. Stringer,Whitney R. Tilson,Andrew M. Cuomo,1
Adrienne E. Adams,Scott M. Stringer,Zellnor Myrie,Andrew M. Cuomo,Selma K. Bartholomew,1
Zohran Kwame Mamdani,Brad Lander,Zellnor Myrie,Andrew M. Cuomo,Selma K. Bartholomew,1
Zohran Kwame Mamdani,Selma K. Bartholomew,Zellnor Myrie,Andrew M. Cuomo,Jessica Ramos,1
Zohran Kwame Mamdani,Selma K. Bartholomew,Scott M. Stringer,Andrew M. Cuomo,,1
Selma K. Bartholomew,Jessica Ramos,Brad Lander,Michael Blake,Zohran Kwame Mamdani,1
Selma K. Bartholomew,Jessica Ramos,Whitney R. Tilson,Zellnor Myrie,Paperboy Love Prince,1
Scott M. Stringer,Zohran Kwame Mamdani,Andrew M. Cuomo,Michael Blake,Paperboy Love Prince,1
Andrew M. Cuomo,Scott M. Stringer,Michael Blake,Brad Lander,,1
Michael Blake,Whitney R. Tilson,Scott M. Stringer,Paperboy Love Prince,Jessica Ramos,1
Adrienne E. Adams,Whitney R. Tilson,Zellnor Myrie,Andrew M. Cuomo,Michael Blake,1
Zohran Kwame Mamdani,Whitney R. Tilson,Paperboy Love Prince,Jessica Ramos,Adrienne E. Adams,1
Andrew M. Cuomo,Selma K. Bartholomew,Zohran Kwame Mamdani,Zellnor Myrie,Brad Lander,1
Andrew M. Cuomo,Selma K. Bartholomew,Whitney R. Tilson,Brad Lander,Zellnor Myrie,1
Zohran Kwame Mamdani,Brad Lander,Scott M. Stringer,Paperboy Love Prince,,1
Zohran Kwame Mamdani,Candidate Write-in,Jessica Ramos,Scott M. Stringer,Andrew M. Cuomo,1
Jessica Ramos,Zellnor Myrie,Selma K. Bartholomew,Andrew M. Cuomo,,1
Adrienne E. Adams,Michael Blake,Whitney R. Tilson,Selma K. Bartholomew,Andrew M. Cuomo,1
Andrew M. Cuomo,Michael Blake,Whitney R. Tilson,Adrienne E. Adams,Paperboy Love Prince,1
Andrew M. Cuomo,Jessica Ramos,Adrienne E. Adams,Scott M. Stringer,,1
Scott M. Stringer,Andrew M. Cuomo,Zohran Kwame Mamdani,Paperboy Love Prince,Michael Blake,1
Andrew M. Cuomo,Zellnor Myrie,Michael Blake,Zohran Kwame Mamdani,Paperboy Love Prince,1
Jessica Ramos,Whitney R. Tilson,Michael Blake,Andrew M. Cuomo,Selma K. Bartholomew,1
Zohran Kwame Mamdani,Scott M. Stringer,Whitney R. Tilson,Brad Lander,,1
Andrew M. Cuomo,Jessica Ramos,Zellnor Myrie,Paperboy Love Prince,,1
Zohran Kwame Mamdani,Scott M. Stringer,Paperboy Love Prince,Michael Blake,Brad Lander,1
Whitney R. Tilson,Brad Lander,Zellnor Myrie,Michael Blake,Adrienne E. Adams,1
Scott M. Stringer,Jessica Ramos,Andrew M. Cuomo,Zohran Kwame Mamdani,,1
Adrienne E. Adams,Andrew M. Cuomo,Jessica Ramos,Selma K. Bartholomew,,1
Adrienne E. Adams,Michael Blake,Andrew M. Cuomo,Paperboy Love Prince,Zohran Kwame Mamdani,1
Scott M. Stringer,Andrew M. Cuomo,Zellnor Myrie,Whitney R. Tilson,Adrienne E. Adams,1
Paperboy Love Prince,Zohran Kwame Mamdani,Zellnor Myrie,Brad Lander,Michael Blake,1
Jessica Ramos,Zohran Kwame Mamdani,Scott M. Stringer,Brad Lander,,1
Paperboy Love Prince,Zohran Kwame Mamdani,Michael Blake,Jessica Ramos,Selma K. Bartholomew,1
Brad Lander,Whitney R. Tilson,Jessica Ramos,Adrienne E. Adams,Selma K. Bartholomew,1
Zohran Kwame Mamdani,Paperboy Love Prince,Jessica Ramos,Candidate Write-in,Selma K. Bartholomew,1
Paperboy Love Prince,Selma K. Bartholomew,Adrienne E. Adams,Zohran Kwame Mamdani,,1
Adrienne E. Adams,Scott M. Stringer,Andrew M. Cuomo,Paperboy Love Prince,Zohran Kwame Mamdani,1
Adrienne E. Adams,Brad Lander,Whitney R. Tilson,Michael Blake,Andrew M. Cuomo,1
Andrew M. Cuomo,Michael Blake,Whitney R. Tilson,Adrienne E. Adams,,1
Jessica Ramos,Scott M. Stringer,Zohran Kwame Mamdani,Brad Lander,Andrew M. Cuomo,1
Zohran Kwame Mamdani,Zellnor Myrie,Andrew M. Cuomo,Michael Blake,,1
Zohran Kwame Mamdani,Paperboy Love Prince,Jessica Ramos,Candidate Write-in,Andrew M. Cuomo,1
Jessica Ramos,Scott M. Stringer,Brad Lander,Andrew M. Cuomo,Zohran Kwame Mamdani,1
Scott M. Stringer,Andrew M. Cuomo,Michael Blake,Brad Lander,Zohran Kwame Mamdani,1
Zellnor Myrie,Michael Blake,Andrew M. Cuomo,Adrienne E. Adams,,1
Zohran Kwame Mamdani,Adrienne E. Adams,Whitney R. Tilson,Scott M. Stringer,Paperboy Love Prince,1
Andrew M. Cuomo,Jessica Ramos,Whitney R. Tilson,,,1
Jessica Ramos,Selma K. Bartholomew,Zohran Kwame Mamdani,Whitney R. Tilson,Brad Lander,1
Zohran Kwame Mamdani,Andrew M. Cuomo,Jessica Ramos,Adrienne E. Adams,,1
Zohran Kwame Mamdani,Andrew M. Cuomo,Brad Lander,,,1
Whitney R. Tilson,Brad Lander,Zellnor Myrie,Selma K. Bartholomew,Andrew M. Cuomo,1
Adrienne E. Adams,Zohran Kwame Mamdani,Whitney R. Tilson,Brad Lander,,1
Andrew M. Cuomo,Scott M. Stringer,Brad Lander,Zellnor Myrie,,1
Brad Lander,Adrienne E. Adams,Jessica Ramos,Andrew M. Cuomo,Michael Blake,1
Michael Blake,Brad Lander,Zohran Kwame Mamdani,Jessica Ramos,Scott M. Stringer,1
Adrienne E. Adams,Zohran Kwame Mamdani,Paperboy Love Prince,Andrew M. Cuomo,Zellnor Myrie,1
Zohran Kwame Mamdani,Brad Lander,Whitney R. Tilson,Candidate Write-in,Adrienne E. Adams,1
Michael Blake,Scott M. Stringer,Zohran Kwame Mamdani,Adrienne E. Adams,Paperboy Love Prince,1
Paperboy Love Prince,Zohran Kwame Mamdani,Selma K. Bartholomew,Jessica Ramos,Adrienne E. Adams,1
Adrienne E. Adams,Michael Blake,Scott M. Stringer,Brad Lander,,1
Andrew M. Cuomo,Jessica Ramos,Whitney R. Tilson,Scott M. Stringer,,1
Jessica Ramos,Zohran Kwame Mamdani,Selma K. Bartholomew,Brad Lander,Scott M. Stringer,1
Andrew M. Cuomo,Selma K. Bartholomew,Zohran Kwame Mamdani,Jessica Ramos,,1
Whitney R. Tilson,Zohran Kwame Mamdani,Adrienne E. Adams,Michael Blake,Jessica Ramos,1
Paperboy Love Prince,Brad Lander,Selma K. Bartholomew,Michael Blake,,1
Zohran Kwame Mamdani,Adrienne E. Adams,Paperboy Love Prince,Brad Lander,,1
Andrew M. Cuomo,Scott M. Stringer,Paperboy Love Prince,Adrienne E. Adams,,1
Zohran Kwame Mamdani,Zellnor Myrie,Paperboy Love Prince,Whitney R. Tilson,Scott M. Stringer,1
Jessica Ramos,Adrienne E. Adams,Michael Blake,Scott M. Stringer,Andrew M. Cuomo,1
Andrew M. Cuomo,Paperboy Love Prince,Adrienne E. Adams,Michael Blake,Jessica Ramos,1
Selma K. Bartholomew,Candidate Write-in,Adrienne E. Adams,Zohran Kwame Mamdani,Brad Lander,1
Zohran Kwame Mamdani,Zellnor Myrie,Paperboy Love Prince,Adrienne E. Adams,Michael Blake,1
Zohran Kwame Mamdani,Jessica Ramos,Whitney R. Tilson,Brad Lander,Adrienne E. Adams,1
Jessica Ramos,Scott M. Stringer,Brad Lander,Adrienne E. Adams,Andrew M. Cuomo,1
Selma K. Bartholomew,Zohran Kwame Mamdani,Michael Blake,Jessica Ramos,Adrienne E. Adams,1
Andrew M. Cuomo,Selma K. Bartholomew,Michael Blake,Zohran Kwame Mamdani,Scott M. Stringer,1
Selma K. Bartholomew,Andrew M. Cuomo,Adrienne E. Adams,Michael Blake,Zellnor Myrie,1
Zohran Kwame Mamdani,Michael Blake,Andrew M. Cuomo,Jessica Ramos,Selma K. Bartholomew,1
Zohran Kwame Mamdani,Andrew M. Cuomo,Paperboy Love Prince,Brad Lander,Zellnor Myrie,1
Andrew M. Cuomo,Selma K. Bartholomew,Michael Blake,Whitney R. Tilson,Paperboy Love Prince,1
Michael Blake,Jessica Ramos,Andrew M. Cuomo,Brad Lander,,1
Jessica Ramos,Selma K. Bartholomew,Adrienne E. Adams,Andrew M. Cuomo,Scott M. Stringer,1
Candidate Write-in,Selma K. Bartholomew,Michael Blake,Zohran Kwame Mamdani,Adrienne E. Adams,1
Zohran Kwame Mamdani,Scott M. Stringer,Jessica Ramos,Candidate Write-in,,1
Brad Lander,Jessica Ramos,Michael Blake,Zohran Kwame Mamdani,Andrew M. Cuomo,1
Selma K. Bartholomew,Adrienne E. Adams,Zellnor Myrie,Brad Lander,Zohran Kwame Mamdani,1
Andrew M. Cuomo,Zellnor Myrie,Paperboy Love Prince,Brad Lander,Zohran Kwame Mamdani,1
Jessica Ramos,Andrew M. Cuomo,Paperboy Love Prince,Adrienne E. Adams,Scott M. Stringer,1
Adrienne E. Adams,Selma K. Bartholomew,,,,1
Jessica Ramos,Whitney R. Tilson,Zohran Kwame Mamdani,Andrew M. Cuomo,Michael Blake,1
Andrew M. Cuomo,Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,,1
Zohran Kwame Mamdani,Jessica Ramos,Andrew M. Cuomo,Scott M. Stringer,Paperboy Love Prince,1
Jessica Ramos,Andrew M. Cuomo,Adrienne E. Adams,Michael Blake,Selma K. Bartholomew,1
Jessica Ramos,Scott M. Stringer,Zohran Kwame Mamdani,Adrienne E. Adams,Andrew M. Cuomo,1
Adrienne E. Adams,Jessica Ramos,Paperboy Love Prince,Candidate Write-in,Andrew M. Cuomo,1
Paperboy Love Prince,Brad Lander,Jessica Ramos,Selma K. Bartholomew,Zohran Kwame Mamdani,1
Andrew M. Cuomo,Michael Blake,Jessica Ramos,,,1
Michael Blake,Adrienne E. Adams,Zellnor Myrie,Zohran Kwame Mamdani,,1
Zellnor Myrie,Zohran Kwame Mamdani,Selma K. Bartholomew,Brad Lander,Whitney R. Tilson,1
Andrew M. Cuomo,Zohran Kwame Mamdani,Brad Lander,Candidate Write-in,Scott M. Stringer,1
Andrew M. Cuomo,Brad Lander,Whitney R. Tilson,Selma K. Bartholomew,Adrienne E. Adams,1
Zohran Kwame Mamdani,Candidate Write-in,Andrew M. Cuomo,Scott M. Stringer,Adrienne E. Adams,1
Scott M. Stringer,Michael Blake,Adrienne E. Adams,Brad Lander,Whitney R. Tilson,1
Zohran Kwame Mamdani,Brad Lander,Jessica Ramos,Andrew M. Cuomo,Candidate Write-in,1
Adrienne E. Adams,Andrew M. Cuomo,Jessica Ramos,Zellnor Myrie,,1
Jessica Ramos,Selma K. Bartholomew,Michael Blake,Adrienne E. Adams,,1
Jessica Ramos,Zellnor Myrie,Whitney R. Tilson,Andrew M. Cuomo,,1
Jessica Ramos,Andrew M. Cuomo,Whitney R. Tilson,Zellnor Myrie,Scott M. Stringer,1
Jessica Ramos,Andrew M. Cuomo,Zellnor Myrie,Michael Blake,Paperboy Love Prince,1
Jessica Ramos,Adrienne E. Adams,Michael Blake,Brad Lander,Zellnor Myrie,1
Adrienne E. Adams,Selma K. Bartholomew,Jessica Ramos,,,1
Jessica Ramos,Andrew M. Cuomo,Whitney R. Tilson,Adrienne E. Adams,Zohran Kwame Mamdani,1
Jessica Ramos,Zohran Kwame Mamdani,Adrienne E. Adams,Michael Blake,Paperboy Love Prince,1
Jessica Ramos,Michael Blake,Zohran Kwame Mamdani,Adrienne E. Adams,Paperboy Love Prince,1
Scott M. Stringer,Jessica Ramos,Adrienne E. Adams,Zohran Kwame Mamdani,Andrew M. Cuomo,1
Zohran Kwame Mamdani,Jessica Ramos,,,,1
Brad Lander,Zellnor Myrie,Scott M. Stringer,Andrew M. Cuomo,Jessica Ramos,1
Zohran Kwame Mamdani,Adrienne E. Adams,Whitney R. Tilson,Scott M. Stringer,Andrew M. Cuomo,1
Jessica Ramos,Whitney R. Tilson,Michael Blake,Brad Lander,Paperboy Love Prince,1
Zohran Kwame Mamdani,Jessica Ramos,Candidate Write-in,Michael Blake,,1
Brad Lander,Whitney R. Tilson,Zohran Kwame Mamdani,Michael Blake,Adrienne E. Adams,1
Selma K. Bartholomew,Adrienne E. Adams,Michael Blake,Andrew M. Cuomo,,1
Brad Lander,Adrienne E. Adams,Andrew M. Cuomo,Selma K. Bartholomew,Scott M. Stringer,1
Andrew M. Cuomo,Scott M. Stringer,Paperboy Love Prince,Zellnor Myrie,Jessica Ramos,1
Zohran Kwame Mamdani,Whitney R. Tilson,Andrew M. Cuomo,Selma K. Bartholomew,Michael Blake,1
Adrienne E. Adams,Zellnor Myrie,Whitney R. Tilson,Scott M. Stringer,Michael Blake,1
Paperboy Love Prince,Candidate Write-in,Jessica Ramos,Whitney R. Tilson,Brad Lander,1
Zohran Kwame Mamdani,Brad Lander,Scott M. Stringer,Andrew M. Cuomo,,1
Michael Blake,Jessica Ramos,Brad Lander,Paperboy Love Prince,,1
Zellnor Myrie,Michael Blake,Selma K. Bartholomew,Whitney R. Tilson,Adrienne E. Adams,1
Adrienne E. Adams,Michael Blake,Candidate Write-in,Zellnor Myrie,Jessica Ramos,1
Whitney R. Tilson,Zellnor Myrie,Brad Lander,Jessica Ramos,Andrew M. Cuomo,1
Andrew M. Cuomo,Brad Lander,Paperboy Love Prince,Whitney R. Tilson,Selma K. Bartholomew,1
Jessica Ramos,Scott M. Stringer,Brad Lander,Adrienne E. Adams,Candidate Write-in,1
Jessica Ramos,Brad Lander,Adrienne E. Adams,Scott M. Stringer,Andrew M. Cuomo,1
Whitney R. Tilson,Jessica Ramos,Adrienne E. Adams,Michael Blake,Brad Lander,1
Andrew M. Cuomo,Brad Lander,Michael Blake,Zellnor Myrie,Whitney R. Tilson,1
Adrienne E. Adams,Brad Lander,Jessica Ramos,Scott M. Stringer,Paperboy Love Prince,1
Whitney R. Tilson,Zellnor Myrie,Michael Blake,Paperboy Love Prince,Selma K. Bartholomew,1
Michael Blake,Adrienne E. Adams,Jessica Ramos,Whitney R. Tilson,Andrew M. Cuomo,1
Brad Lander,Jessica Ramos,Paperboy Love Prince,Zohran Kwame Mamdani,Andrew M. Cuomo,1
Brad Lander,Zohran Kwame Mamdani,Whitney R. Tilson,Paperboy Love Prince,,1
Candidate Write-in,Andrew M. Cuomo,Whitney R. Tilson,Jessica Ramos,Brad Lander,1
Zohran Kwame Mamdani,Candidate Write-in,Jessica Ramos,Selma K. Bartholomew,Paperboy Love Prince,1
Brad Lander,Selma K. Bartholomew,Scott M. Stringer,Zohran Kwame Mamdani,Jessica Ramos,1
Andrew M. Cuomo,Paperboy Love Prince,Selma K. Bartholomew,Zohran Kwame Mamdani,Michael Blake,1
Michael Blake,Selma K. Bartholomew,Adrienne E. Adams,Scott M. Stringer,Jessica Ramos,1
Zohran Kwame Mamdani,Paperboy Love Prince,Jessica Ramos,Adrienne E. Adams,Candidate Write-in,1
Adrienne E. Adams,Jessica Ramos,Andrew M. Cuomo,Brad Lander,,1
Paperboy Love Prince,Adrienne E. Adams,Zohran Kwame Mamdani,Scott M. Stringer,Andrew M. Cuomo,1
Scott M. Stringer,Brad Lander,Whitney R. Tilson,Jessica Ramos,,1
Zellnor Myrie,Michael Blake,Zohran Kwame Mamdani,Whitney R. Tilson,,1
Zohran Kwame Mamdani,Scott M. Stringer,Paperboy Love Prince,Jessica Ramos,Adrienne E. Adams,1
Zohran Kwame Mamdani,Whitney R. Tilson,Zellnor Myrie,Adrienne E. Adams,Brad Lander,1
Zohran Kwame Mamdani,Whitney R. Tilson,Jessica Ramos,Scott M. Stringer,Michael Blake,1
Brad Lander,Michael Blake,Whitney R. Tilson,Zellnor Myrie,Scott M. Stringer,1
Michael Blake,Adrienne E. Adams,Andrew M. Cuomo,Paperboy Love Prince,Zohran Kwame Mamdani,1
Andrew M. Cuomo,Zohran Kwame Mamdani,Zellnor Myrie,Whitney R. Tilson,Candidate Write-in,1
Adrienne E. Adams,Selma K. Bartholomew,Brad Lander,,,1
Adrienne E. Adams,Jessica Ramos,Scott M. Stringer,Candidate Write-in,,1
Michael Blake,Zellnor Myrie,Whitney R. Tilson,Scott M. Stringer,Brad Lander,1
Brad Lander,Scott M. Stringer,Whitney R. Tilson,Jessica Ramos,Candidate Write-in,1
Brad Lander,Jessica Ramos,Zellnor Myrie,Whitney R. Tilson,Adrienne E. Adams,1
Andrew M. Cuomo,Paperboy Love Prince,Candidate Write-in,Brad Lander,Michael Blake,1
Brad Lander,Adrienne E. Adams,Paperboy Love Prince,Selma K. Bartholomew,Andrew M. Cuomo,1
Michael Blake,Paperboy Love Prince,Whitney R. Tilson,Jessica Ramos,Selma K. Bartholomew,1
Brad Lander,Andrew M. Cuomo,Zohran Kwame Mamdani,Paperboy Love Prince,,1
Andrew M. Cuomo,Brad Lander,Paperboy Love Prince,Whitney R. Tilson,Candidate Write-in,1
Andrew M. Cuomo,Jessica Ramos,Paperboy Love Prince,Brad Lander,Adrienne E. Adams,1
Jessica Ramos,Paperboy Love Prince,Andrew M. Cuomo,Zohran Kwame Mamdani,,1
Paperboy Love Prince,Jessica Ramos,Selma K. Bartholomew,Adrienne E. Adams,Zohran Kwame Mamdani,1
Zellnor Myrie,Scott M. Stringer,Whitney R. Tilson,Andrew M. Cuomo,Adrienne E. Adams,1
Candidate Write-in,Andrew M. Cuomo,Selma K. Bartholomew,Brad Lander,Adrienne E. Adams,1
Adrienne E. Adams,Andrew M. Cuomo,Michael Blake,Jessica Ramos,,1
Jessica Ramos,Zohran Kwame Mamdani,Adrienne E. Adams,Scott M. Stringer,Zellnor Myrie,1
Adrienne E. Adams,Jessica Ramos,Selma K. Bartholomew,Michael Blake,Whitney R. Tilson,1
Michael Blake,Zohran Kwame Mamdani,Whitney R. Tilson,Jessica Ramos,Zellnor Myrie,1
Andrew M. Cuomo,Paperboy Love Prince,Scott M. Stringer,Whitney R. Tilson,Zohran Kwame Mamdani,1
Jessica Ramos,Zohran Kwame Mamdani,Andrew M. Cuomo,Scott M. Stringer,Adrienne E. Adams,1
Zellnor Myrie,Michael Blake,Zohran Kwame Mamdani,Adrienne E. Adams,,1
Paperboy Love Prince,Scott M. Stringer,Adrienne E. Adams,Jessica Ramos,Whitney R. Tilson,1
Zohran Kwame Mamdani,Selma K. Bartholomew,Andrew M. Cuomo,Adrienne E. Adams,Whitney R. Tilson,1
Andrew M. Cuomo,Paperboy Love Prince,,,,1
Scott M. Stringer,Brad Lander,Zohran Kwame Mamdani,Paperboy Love Prince,Selma K. Bartholomew,1
Zohran Kwame Mamdani,Paperboy Love Prince,Brad Lander,Jessica Ramos,Candidate Write-in,1
Selma K. Bartholomew,Michael Blake,Brad Lander,Zohran Kwame Mamdani,Adrienne E. Adams,1
Jessica Ramos,Zellnor Myrie,Andrew M. Cuomo,Zohran Kwame Mamdani,Brad Lander,1
Scott M. Stringer,Zohran Kwame Mamdani,Michael Blake,Brad Lander,Andrew M. Cuomo,1
Adrienne E. Adams,Whitney R. Tilson,Brad Lander,Andrew M. Cuomo,Zohran Kwame Mamdani,1
Whitney R. Tilson,Adrienne E. Adams,Scott M. Stringer,Jessica Ramos,,1
Adrienne E. Adams,Zohran Kwame Mamdani,Paperboy Love Prince,Zellnor Myrie,,1
Adrienne E. Adams,Whitney R. Tilson,Selma K. Bartholomew,Jessica Ramos,Paperboy Love Prince,1
Paperboy Love Prince,Michael Blake,Whitney R. Tilson,Scott M. Stringer,Zellnor Myrie,1
Adrienne E. Adams,Michael Blake,Brad Lander,Zohran Kwame Mamdani,,1
Zohran Kwame Mamdani,Adrienne E. Adams,Andrew M. Cuomo,Candidate Write-in,Brad Lander,1
Adrienne E. Adams,Jessica Ramos,Scott M. Stringer,Andrew M. Cuomo,,1
Michael Blake,Zellnor Myrie,Selma K. Bartholomew,Adrienne E. Adams,Andrew M. Cuomo,1
Zohran Kwame Mamdani,Jessica Ramos,Scott M. Stringer,Whitney R. Tilson,,1
Zohran Kwame Mamdani,Jessica Ramos,Paperboy Love Prince,Adrienne E. Adams,,1
Candidate Write-in,Jessica Ramos,Zellnor Myrie,Brad Lander,Zohran Kwame Mamdani,1
