rank1,rank2,rank3,rank4,rank5,count
Michael Blake,Jessica Ramos,Zohran Kwame Mamdani,Brad Lander,Paperboy Love Prince,1
Adrienne E. Adams,Zohran Kwame Mamdani,Brad Lander,Andrew M. Cuomo,Zohran Kwame Mamdani,1
Whitney R. Tilson,Andrew M. Cuomo,Write-In,Scott M. Stringer,Zellnor Myrie,1
Zohran Kwame Mamdani,Whitney R. Tilson,Jessica Ramos,Adrienne E. Adams,Paperboy Love Prince,1
Write-In,Paperboy Love Prince,Whitney R. Tilson,Selma K. Bartholomew,,1
Zohran Kwame Mamdani,Adrienne E. Adams,Zohran Kwame Mamdani,Zohran Kwame Mamdani,Michael Blake,1
Jessica Ramos,Zellnor Myrie,Whitney R. Tilson,Brad Lander,Zohran Kwame Mamdani,1
Zohran Kwame Mamdani,Zellnor Myrie,Scott M. Stringer,Paperboy Love Prince,Adrienne E. Adams,1
Zellnor Myrie,Whitney R. Tilson,Michael Blake,Adrienne E. Adams,Selma K. Bartholomew,1
Andrew M. Cuomo,Paperboy Love Prince,Adrienne E. Adams,Zellnor Myrie,Brad Lander,1
Brad Lander,Scott M. Stringer,Andrew M. Cuomo,Paperboy Love Prince,Whitney R. Tilson,1
Zohran Kwame Mamdani,Zellnor Myrie,Adrienne E. Adams,Brad Lander,Brad Lander,1
Zellnor Myrie,Whitney R. Tilson,Andrew M. Cuomo,Zohran Kwame Mamdani,,1
Andrew M. Cuomo,Brad Lander,Selma K. Bartholomew,Andrew M. Cuomo,Andrew M. Cuomo,1
Brad Lander,Michael Blake,Zohran Kwame Mamdani,Whitney R. Tilson,Zellnor Myrie,1
Paperboy Love Prince,Zohran Kwame Mamdani,Jessica Ramos,,,1
Adrienne E. Adams,Adrienne E. Adams,Zellnor Myrie,,,1
Zohran Kwame Mamdani,Michael Blake,Paperboy Love Prince,Jessica Ramos,Selma K. Bartholomew,1
Andrew M. Cuomo,Selma K. Bartholomew,Whitney R. Tilson,Brad Lander,Michael Blake,1
Andrew M. Cuomo,Jessica Ramos,Selma K. Bartholomew,Whitney R. Tilson,Write-In,1
Jessica Ramos,Whitney R. Tilson,Selma K. Bartholomew,Paperboy Love Prince,Adrienne E. Adams,1
Scott M. Stringer,Andrew M. Cuomo,Selma K. Bartholomew,Adrienne E. Adams,Paperboy Love Prince,1
Zellnor Myrie,Brad Lander,Jessica Ramos,Andrew M. Cuomo,Michael Blake,1
Adrienne E. Adams,Whitney R. Tilson,Zellnor Myrie,Paperboy Love Prince,,1
Whitney R. Tilson,Scott M. Stringer,Zellnor Myrie,Andrew M. Cuomo,Michael Blake,1
Andrew M. Cuomo,Write-In,Brad Lander,Whitney R. Tilson,Paperboy Love Prince,1
Brad Lander,Adrienne E. Adams,Whitney R. Tilson,Selma K. Bartholomew,Jessica Ramos,1
Andrew M. Cuomo,Brad Lander,Paperboy Love Prince,Zohran Kwame Mamdani,Jessica Ramos,1
Scott M. Stringer,Whitney R. Tilson,Write-In,Selma K. Bartholomew,Brad Lander,1
Selma K. Bartholomew,Jessica Ramos,Adrienne E. Adams,Paperboy Love Prince,Zohran Kwame Mamdani,1
Zellnor Myrie,Brad Lander,Andrew M. Cuomo,Scott M. Stringer,Paperboy Love Prince,1
Scott M. Stringer,Whitney R. Tilson,Brad Lander,Adrienne E. Adams,Selma K. Bartholomew,1
Brad Lander,Scott M. Stringer,Scott M. Stringer,Andrew M. Cuomo,Michael Blake,1
Andrew M. Cuomo,Zellnor Myrie,Selma K. Bartholomew,Scott M. Stringer,Whitney R. Tilson,1
Scott M. Stringer,Andrew M. Cuomo,Adrienne E. Adams,Selma K. Bartholomew,Whitney R. Tilson,1
Andrew M. Cuomo,Andrew M. Cuomo,Brad Lander,Zellnor Myrie,,1
Write-In,Whitney R. Tilson,Zellnor Myrie,Andrew M. Cuomo,,1
Andrew M. Cuomo,Paperboy Love Prince,Jessica Ramos,Write-In,,1
Zohran Kwame Mamdani,Zohran Kwame Mamdani,Adrienne E. Adams,Adrienne E. Adams,Zohran Kwame Mamdani,1
Brad Lander,Michael Blake,Jessica Ramos,Scott M. Stringer,Whitney R. Tilson,1
Adrienne E. Adams,Zohran Kwame Mamdani,Paperboy Love Prince,Brad Lander,Selma K. Bartholomew,1
Brad Lander,Selma K. Bartholomew,Scott M. Stringer,Paperboy Love Prince,Zohran Kwame Mamdani,1
Andrew M. Cuomo,Whitney R. Tilson,Zellnor Myrie,Whitney R. Tilson,Andrew M. Cuomo,1
Scott M. Stringer,Whitney R. Tilson,Zellnor Myrie,Write-In,Brad Lander,1
Andrew M. Cuomo,Paperboy Love Prince,Michael Blake,Adrienne E. Adams,Whitney R. Tilson,1
Scott M. Stringer,Jessica Ramos,Zohran Kwame Mamdani,Zellnor Myrie,Selma K. Bartholomew,1
Adrienne E. Adams,Zellnor Myrie,Scott M. Stringer,Write-In,,1
Adrienne E. Adams,Andrew M. Cuomo,Jessica Ramos,Paperboy Love Prince,Zohran Kwame Mamdani,1
Zellnor Myrie,Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Zohran Kwame Mamdani,1
Zohran Kwame Mamdani,Zohran Kwame Mamdani,Adrienne E. Adams,Zellnor Myrie,Adrienne E. Adams,1
Zohran Kwame Mamdani,Paperboy Love Prince,Adrienne E. Adams,Jessica Ramos,,1
Zellnor Myrie,Zohran Kwame Mamdani,Jessica Ramos,Selma K. Bartholomew,Andrew M. Cuomo,1
Paperboy Love Prince,Zohran Kwame Mamdani,Selma K. Bartholomew,Brad Lander,Adrienne E. Adams,1
Adrienne E. Adams,Paperboy Love Prince,Whitney R. Tilson,Selma K. Bartholomew,Brad Lander,1
Zohran Kwame Mamdani,Scott M. Stringer,Write-In,Andrew M. Cuomo,Adrienne E. Adams,1
Andrew M. Cuomo,Whitney R. Tilson,Brad Lander,Selma K. Bartholomew,Paperboy Love Prince,1
Andrew M. Cuomo,Adrienne E. Adams,Scott M. Stringer,Whitney R. Tilson,Andrew M. Cuomo,1
Andrew M. Cuomo,Zohran Kwame Mamdani,Whitney R. Tilson,Paperboy Love Prince,Adrienne E. Adams,1
Scott M. Stringer,Jessica Ramos,Brad Lander,Selma K. Bartholomew,Adrienne E. Adams,1
Zohran Kwame Mamdani,Whitney R. Tilson,Zellnor Myrie,Selma K. Bartholomew,Adrienne E. Adams,1
Adrienne E. Adams,Scott M. Stringer,Jessica Ramos,Selma K. Bartholomew,Zellnor Myrie,1
Whitney R. Tilson,Paperboy Love Prince,Andrew M. Cuomo,Zohran Kwame Mamdani,,1
Brad Lander,Michael Blake,Scott M. Stringer,Whitney R. Tilson,Zohran Kwame Mamdani,1
Andrew M. Cuomo,Scott M. Stringer,Whitney R. Tilson,Zohran Kwame Mamdani,Write-In,1
Whitney R. Tilson,Paperboy Love Prince,Zellnor Myrie,Zohran Kwame Mamdani,Jessica Ramos,1
Zohran Kwame Mamdani,Adrienne E. Adams,Whitney R. Tilson,Michael Blake,Paperboy Love Prince,1
Andrew M. Cuomo,Paperboy Love Prince,Scott M. Stringer,Brad Lander,Zellnor Myrie,1
Andrew M. Cuomo,Paperboy Love Prince,Jessica Ramos,Selma K. Bartholomew,Brad Lander,1
Brad Lander,Michael Blake,Scott M. Stringer,Zohran Kwame Mamdani,Paperboy Love Prince,1
Whitney R. Tilson,Selma K. Bartholomew,Zellnor Myrie,Brad Lander,Paperboy Love Prince,1
Adrienne E. Adams,Jessica Ramos,Brad Lander,Michael Blake,Andrew M. Cuomo,1
Adrienne E. Adams,Selma K. Bartholomew,Andrew M. Cuomo,Zohran Kwame Mamdani,Zellnor Myrie,1
Zohran Kwame Mamdani,Adrienne E. Adams,Michael Blake,Adrienne E. Adams,,1
Zohran Kwame Mamdani,Zellnor Myrie,Scott M. Stringer,Brad Lander,Scott M. Stringer,1
Zohran Kwame Mamdani,Brad Lander,Zellnor Myrie,Zellnor Myrie,Paperboy Love Prince,1
Zellnor Myrie,Adrienne E. Adams,Scott M. Stringer,Whitney R. Tilson,Zohran Kwame Mamdani,1
Brad Lander,Zellnor Myrie,Paperboy Love Prince,Adrienne E. Adams,Zohran Kwame Mamdani,1
Jessica Ramos,Brad Lander,Michael Blake,Scott M. Stringer,Whitney R. Tilson,1
Scott M. Stringer,Paperboy Love Prince,Whitney R. Tilson,Andrew M. Cuomo,Selma K. Bartholomew,1
Jessica Ramos,Brad Lander,Zohran Kwame Mamdani,Paperboy Love Prince,,1
Jessica Ramos,Adrienne E. Adams,Zohran Kwame Mamdani,Brad Lander,Zellnor Myrie,1
Selma K. Bartholomew,Andrew M. Cuomo,Brad Lander,Adrienne E. Adams,Scott M. Stringer,1
Selma K. Bartholomew,Zohran Kwame Mamdani,Michael Blake,Brad Lander,Adrienne E. Adams,1
Jessica Ramos,Zohran Kwame Mamdani,Brad Lander,Zellnor Myrie,Andrew M. Cuomo,1
Jessica Ramos,Andrew M. Cuomo,Scott M. Stringer,Zellnor Myrie,Whitney R. Tilson,1
Zellnor Myrie,Scott M. Stringer,Whitney R. Tilson,Brad Lander,Scott M. Stringer,1
Brad Lander,Zellnor Myrie,Michael Blake,Jessica Ramos,Whitney R. Tilson,1
Brad Lander,Whitney R. Tilson,Zellnor Myrie,Scott M. Stringer,Paperboy Love Prince,1
Zellnor Myrie,Zohran Kwame Mamdani,Scott M. Stringer,Adrienne E. Adams,Whitney R. Tilson,1
Zohran Kwame Mamdani,Jessica Ramos,Scott M. Stringer,Andrew M. Cuomo,Selma K. Bartholomew,1
Brad Lander,Selma K. Bartholomew,Zohran Kwame Mamdani,Scott M. Stringer,Adrienne E. Adams,1
Michael Blake,Zohran Kwame Mamdani,Zellnor Myrie,Jessica Ramos,Adrienne E. Adams,1
Brad Lander,Paperboy Love Prince,Andrew M. Cuomo,Jessica Ramos,,1
Brad Lander,Zohran Kwame Mamdani,Write-In,Andrew M. Cuomo,,1
Michael Blake,Brad Lander,Jessica Ramos,Scott M. Stringer,,1
Andrew M. Cuomo,Paperboy Love Prince,Brad Lander,Whitney R. Tilson,Scott M. Stringer,1
Brad Lander,Adrienne E. Adams,Whitney R. Tilson,Write-In,Zohran Kwame Mamdani,1
Adrienne E. Adams,Scott M. Stringer,Write-In,Brad Lander,Andrew M. Cuomo,1
Zohran Kwame Mamdani,Scott M. Stringer,Andrew M. Cuomo,Paperboy Love Prince,Selma K. Bartholomew,1
Andrew M. Cuomo,Michael Blake,Selma K. Bartholomew,Paperboy Love Prince,Adrienne E. Adams,1
Zohran Kwame Mamdani,Write-In,Brad Lander,Scott M. Stringer,Selma K. Bartholomew,1
Brad Lander,Jessica Ramos,Selma K. Bartholomew,Adrienne E. Adams,Zohran Kwame Mamdani,1
Selma K. Bartholomew,Jessica Ramos,Adrienne E. Adams,Zohran Kwame Mamdani,Zellnor Myrie,1
Jessica Ramos,Brad Lander,Write-In,Andrew M. Cuomo,Zohran Kwame Mamdani,1
Brad Lander,Jessica Ramos,Zohran Kwame Mamdani,Andrew M. Cuomo,Selma K. Bartholomew,1
Jessica Ramos,Brad Lander,Zohran Kwame Mamdani,Adrienne E. Adams,Michael Blake,1
Brad Lander,Zohran Kwame Mamdani,Jessica Ramos,Andrew M. Cuomo,Paperboy Love Prince,1
Zellnor Myrie,Adrienne E. Adams,Brad Lander,Michael Blake,,1
Scott M. Stringer,Whitney R. Tilson,Andrew M. Cuomo,Zohran Kwame Mamdani,Michael Blake,1
Adrienne E. Adams,Brad Lander,Selma K. Bartholomew,Andrew M. Cuomo,Scott M. Stringer,1
Brad Lander,Zohran Kwame Mamdani,Paperboy Love Prince,Write-In,Adrienne E. Adams,1
Zellnor Myrie,Zohran Kwame Mamdani,Selma K. Bartholomew,Scott M. Stringer,Andrew M. Cuomo,1
Whitney R. Tilson,Write-In,Zellnor Myrie,Michael Blake,Andrew M. Cuomo,1
Brad Lander,Zohran Kwame Mamdani,Michael Blake,Jessica Ramos,Write-In,1
Zellnor Myrie,Andrew M. Cuomo,Zohran Kwame Mamdani,Brad Lander,Paperboy Love Prince,1
Jessica Ramos,Andrew M. Cuomo,Adrienne E. Adams,Whitney R. Tilson,Zohran Kwame Mamdani,1
Zellnor Myrie,Scott M. Stringer,Whitney R. Tilson,Michael Blake,Paperboy Love Prince,1
Zohran Kwame Mamdani,Andrew M. Cuomo,Scott M. Stringer,Paperboy Love Prince,Selma K. Bartholomew,1
Brad Lander,Adrienne E. Adams,Zohran Kwame Mamdani,Jessica Ramos,Write-In,1
Whitney R. Tilson,Michael Blake,Andrew M. Cuomo,Scott M. Stringer,Zohran Kwame Mamdani,1
Brad Lander,Andrew M. Cuomo,Whitney R. Tilson,Brad Lander,Brad Lander,1
Brad Lander,Whitney R. Tilson,Adrienne E. Adams,Selma K. Bartholomew,Zohran Kwame Mamdani,1
Brad Lander,Andrew M. Cuomo,Brad Lander,Brad Lander,Brad Lander,1
Andrew M. Cuomo,Whitney R. Tilson,Adrienne E. Adams,Andrew M. Cuomo,Andrew M. Cuomo,1
Brad Lander,Michael Blake,Zohran Kwame Mamdani,Whitney R. Tilson,Andrew M. Cuomo,1
Zellnor Myrie,Brad Lander,Scott M. Stringer,Jessica Ramos,Andrew M. Cuomo,1
Zellnor Myrie,Selma K. Bartholomew,Michael Blake,Paperboy Love Prince,Jessica Ramos,1
Brad Lander,Michael Blake,Selma K. Bartholomew,Whitney R. Tilson,Adrienne E. Adams,1
Brad Lander,Zohran Kwame Mamdani,Whitney R. Tilson,Scott M. Stringer,Selma K. Bartholomew,1
Zellnor Myrie,Zohran Kwame Mamdani,Andrew M. Cuomo,Michael Blake,Selma K. Bartholomew,1
Zohran Kwame Mamdani,Brad Lander,Zohran Kwame Mamdani,Brad Lander,Andrew M. Cuomo,1
Whitney R. Tilson,Zellnor Myrie,Scott M. Stringer,Brad Lander,Paperboy Love Prince,1
Zellnor Myrie,Zohran Kwame Mamdani,Adrienne E. Adams,Selma K. Bartholomew,Jessica Ramos,1
Michael Blake,Brad Lander,Zellnor Myrie,Zohran Kwame Mamdani,,1
Brad Lander,Brad Lander,Andrew M. Cuomo,Andrew M. Cuomo,Brad Lander,1
Zohran Kwame Mamdani,Paperboy Love Prince,Scott M. Stringer,Jessica Ramos,Write-In,1
Andrew M. Cuomo,Zellnor Myrie,Scott M. Stringer,Michael Blake,Zellnor Myrie,1
Andrew M. Cuomo,Adrienne E. Adams,Write-In,Michael Blake,Scott M. Stringer,1
Jessica Ramos,Whitney R. Tilson,Michael Blake,Zellnor Myrie,Zohran Kwame Mamdani,1
Whitney R. Tilson,Brad Lander,Zellnor Myrie,Adrienne E. Adams,Michael Blake,1
Zellnor Myrie,Brad Lander,Zohran Kwame Mamdani,Write-In,Paperboy Love Prince,1
Zellnor Myrie,Brad Lander,Andrew M. Cuomo,Jessica Ramos,Zohran Kwame Mamdani,1
Whitney R. Tilson,Brad Lander,Scott M. Stringer,Michael Blake,Andrew M. Cuomo,1
Whitney R. Tilson,Write-In,Adrienne E. Adams,Andrew M. Cuomo,Paperboy Love Prince,1
Zohran Kwame Mamdani,Whitney R. Tilson,Andrew M. Cuomo,Brad Lander,Zellnor Myrie,1
Brad Lander,Scott M. Stringer,Paperboy Love Prince,Whitney R. Tilson,Zohran Kwame Mamdani,1
Scott M. Stringer,Zellnor Myrie,Whitney R. Tilson,Adrienne E. Adams,Paperboy Love Prince,1
Brad Lander,Whitney R. Tilson,Michael Blake,Selma K. Bartholomew,Adrienne E. Adams,1
Adrienne E. Adams,Andrew M. Cuomo,Zellnor Myrie,Write-In,Paperboy Love Prince,1
Brad Lander,Andrew M. Cuomo,Andrew M. Cuomo,Scott M. Stringer,Andrew M. Cuomo,1
Zohran Kwame Mamdani,Whitney R. Tilson,Jessica Ramos,Michael Blake,Scott M. Stringer,1
Zohran Kwame Mamdani,Michael Blake,Zellnor Myrie,Write-In,Paperboy Love Prince,1
Scott M. Stringer,Selma K. Bartholomew,Zellnor Myrie,Andrew M. Cuomo,Zohran Kwame Mamdani,1
Brad Lander,Andrew M. Cuomo,Paperboy Love Prince,Jessica Ramos,Scott M. Stringer,1
Scott M. Stringer,Zohran Kwame Mamdani,Andrew M. Cuomo,Selma K. Bartholomew,Brad Lander,1
Paperboy Love Prince,Brad Lander,Michael Blake,Scott M. Stringer,Adrienne E. Adams,1
Zellnor Myrie,Brad Lander,Whitney R. Tilson,Michael Blake,,1
Zellnor Myrie,Scott M. Stringer,Jessica Ramos,Whitney R. Tilson,Selma K. Bartholomew,1
Michael Blake,Adrienne E. Adams,Zellnor Myrie,Selma K. Bartholomew,Scott M. Stringer,1
Write-In,Whitney R. Tilson,Zellnor Myrie,Adrienne E. Adams,Scott M. Stringer,1
Adrienne E. Adams,Brad Lander,Zellnor Myrie,Paperboy Love Prince,,1
Brad Lander,Whitney R. Tilson,Zellnor Myrie,Paperboy Love Prince,Andrew M. Cuomo,1
Adrienne E. Adams,Zohran Kwame Mamdani,Jessica Ramos,Brad Lander,Paperboy Love Prince,1
Brad Lander,Scott M. Stringer,Write-In,Paperboy Love Prince,Paperboy Love Prince,1
Andrew M. Cuomo,Andrew M. Cuomo,Scott M. Stringer,Zohran Kwame Mamdani,,1
Brad Lander,Write-In,Zohran Kwame Mamdani,Jessica Ramos,Adrienne E. Adams,1
Scott M. Stringer,Adrienne E. Adams,Jessica Ramos,Brad Lander,Paperboy Love Prince,1
Zohran Kwame Mamdani,Paperboy Love Prince,Adrienne E. Adams,Scott M. Stringer,Whitney R. Tilson,1
Jessica Ramos,Michael Blake,Scott M. Stringer,Zellnor Myrie,Brad Lander,1
Brad Lander,Selma K. Bartholomew,Scott M. Stringer,Michael Blake,Zellnor Myrie,1
Brad Lander,Write-In,Paperboy Love Prince,Adrienne E. Adams,Jessica Ramos,1
Whitney R. Tilson,Zellnor Myrie,Paperboy Love Prince,Brad Lander,Andrew M. Cuomo,1
Adrienne E. Adams,Whitney R. Tilson,Jessica Ramos,Andrew M. Cuomo,Brad Lander,1
Zellnor Myrie,Brad Lander,Andrew M. Cuomo,Whitney R. Tilson,Paperboy Love Prince,1
Scott M. Stringer,Brad Lander,Selma K. Bartholomew,Andrew M. Cuomo,Adrienne E. Adams,1
Whitney R. Tilson,Paperboy Love Prince,Andrew M. Cuomo,Scott M. Stringer,Michael Blake,1
Zellnor Myrie,Michael Blake,Brad Lander,Whitney R. Tilson,Adrienne E. Adams,1
Paperboy Love Prince,Adrienne E. Adams,Jessica Ramos,Selma K. Bartholomew,Whitney R. Tilson,1
Zohran Kwame Mamdani,Jessica Ramos,Michael Blake,Write-In,Adrienne E. Adams,1
Andrew M. Cuomo,Paperboy Love Prince,Write-In,Write-In,Scott M. Stringer,1
Zellnor Myrie,Brad Lander,Michael Blake,Paperboy Love Prince,Zohran Kwame Mamdani,1
Brad Lander,Adrienne E. Adams,Zellnor Myrie,Write-In,,1
Zohran Kwame Mamdani,Andrew M. Cuomo,Andrew M. Cuomo,Brad Lander,Brad Lander,1
Write-In,Zohran Kwame Mamdani,Michael Blake,Jessica Ramos,Whitney R. Tilson,1
Zohran Kwame Mamdani,Brad Lander,Selma K. Bartholomew,Write-In,,1
Andrew M. Cuomo,Brad Lander,Selma K. Bartholomew,Whitney R. Tilson,Jessica Ramos,1
Brad Lander,Jessica Ramos,Zellnor Myrie,Adrienne E. Adams,Write-In,1
Brad Lander,Paperboy Love Prince,Jessica Ramos,Andrew M. Cuomo,Write-In,1
Paperboy Love Prince,Zohran Kwame Mamdani,Brad Lander,Andrew M. Cuomo,,1
Zellnor Myrie,Brad Lander,Adrienne E. Adams,Michael Blake,Paperboy Love Prince,1
Whitney R. Tilson,Brad Lander,Andrew M. Cuomo,Adrienne E. Adams,Paperboy Love Prince,1
Scott M. Stringer,Adrienne E. Adams,Zohran Kwame Mamdani,Andrew M. Cuomo,Whitney R. Tilson,1
Brad Lander,Whitney R. Tilson,Andrew M. Cuomo,Adrienne E. Adams,Write-In,1
Whitney R. Tilson,Paperboy Love Prince,Jessica Ramos,Brad Lander,Andrew M. Cuomo,1
Brad Lander,Zohran Kwame Mamdani,Scott M. Stringer,Zohran Kwame Mamdani,Brad Lander,1
Andrew M. Cuomo,Brad Lander,Scott M. Stringer,Zellnor Myrie,Zellnor Myrie,1
Zellnor Myrie,Adrienne E. Adams,Whitney R. Tilson,Scott M. Stringer,Michael Blake,1
Zellnor Myrie,Selma K. Bartholomew,Brad Lander,Scott M. Stringer,Michael Blake,1
Zellnor Myrie,Scott M. Stringer,Brad Lander,Zohran Kwame Mamdani,Michael Blake,1
Andrew M. Cuomo,Jessica Ramos,Adrienne E. Adams,Paperboy Love Prince,Brad Lander,1
Zohran Kwame Mamdani,Whitney R. Tilson,Andrew M. Cuomo,Zellnor Myrie,Adrienne E. Adams,1
Write-In,Scott M. Stringer,Zellnor Myrie,Adrienne E. Adams,Andrew M. Cuomo,1
Whitney R. Tilson,Brad Lander,Scott M. Stringer,Andrew M. Cuomo,Michael Blake,1
Brad Lander,Whitney R. Tilson,Jessica Ramos,Zohran Kwame Mamdani,Zellnor Myrie,1
Andrew M. Cuomo,Write-In,Brad Lander,Paperboy Love Prince,,1
Adrienne E. Adams,Zellnor Myrie,Selma K. Bartholomew,Paperboy Love Prince,Brad Lander,1
Jessica Ramos,Scott M. Stringer,Zohran Kwame Mamdani,Andrew M. Cuomo,Adrienne E. Adams,1
Jessica Ramos,Andrew M. Cuomo,Scott M. Stringer,Adrienne E. Adams,,1
Zellnor Myrie,Michael Blake,Zohran Kwame Mamdani,Brad Lander,Jessica Ramos,1
Zellnor Myrie,Whitney R. Tilson,Michael Blake,Zohran Kwame Mamdani,Adrienne E. Adams,1
Brad Lander,Zellnor Myrie,Write-In,Zohran Kwame Mamdani,Whitney R. Tilson,1
Adrienne E. Adams,Paperboy Love Prince,Michael Blake,Zellnor Myrie,Brad Lander,1
Brad Lander,Adrienne E. Adams,Zellnor Myrie,Michael Blake,Write-In,1
Adrienne E. Adams,Zellnor Myrie,Zohran Kwame Mamdani,Selma K. Bartholomew,Whitney R. Tilson,1
Brad Lander,Adrienne E. Adams,Selma K. Bartholomew,Zellnor Myrie,Write-In,1
Scott M. Stringer,Andrew M. Cuomo,Whitney R. Tilson,Brad Lander,Zohran Kwame Mamdani,1
Whitney R. Tilson,Brad Lander,Zellnor Myrie,Scott M. Stringer,Paperboy Love Prince,1
Brad Lander,Zohran Kwame Mamdani,Andrew M. Cuomo,Paperboy Love Prince,Adrienne E. Adams,1
Michael Blake,Whitney R. Tilson,Scott M. Stringer,Brad Lander,,1
Zohran Kwame Mamdani,Brad Lander,Paperboy Love Prince,Brad Lander,Andrew M. Cuomo,1
Selma K. Bartholomew,Adrienne E. Adams,Whitney R. Tilson,Michael Blake,Zohran Kwame Mamdani,1
Brad Lander,Zohran Kwame Mamdani,Selma K. Bartholomew,Scott M. Stringer,Write-In,1
Scott M. Stringer,Zohran Kwame Mamdani,Brad Lander,Zellnor Myrie,Selma K. Bartholomew,1
Andrew M. Cuomo,Write-In,Andrew M. Cuomo,Write-In,Andrew M. Cuomo,1
Paperboy Love Prince,Andrew M. Cuomo,Adrienne E. Adams,,,1
Michael Blake,Brad Lander,Scott M. Stringer,Selma K. Bartholomew,Jessica Ramos,1
Zohran Kwame Mamdani,Zohran Kwame Mamdani,Brad Lander,Zellnor Myrie,Brad Lander,1
Zellnor Myrie,Brad Lander,Jessica Ramos,Zohran Kwame Mamdani,Michael Blake,1
Zohran Kwame Mamdani,Michael Blake,Zellnor Myrie,Whitney R. Tilson,Write-In,1
Write-In,Zohran Kwame Mamdani,Zellnor Myrie,Adrienne E. Adams,Michael Blake,1
Zohran Kwame Mamdani,Whitney R. Tilson,Selma K. Bartholomew,Michael Blake,Zellnor Myrie,1
Brad Lander,Zohran Kwame Mamdani,Write-In,Adrienne E. Adams,Zellnor Myrie,1
Brad Lander,Scott M. Stringer,Selma K. Bartholomew,Zohran Kwame Mamdani,Write-In,1
Jessica Ramos,Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Write-In,1
Zohran Kwame Mamdani,Zohran Kwame Mamdani,Zohran Kwame Mamdani,Whitney R. Tilson,Andrew M. Cuomo,1
Jessica Ramos,Zellnor Myrie,Michael Blake,Adrienne E. Adams,Brad Lander,1
Zohran Kwame Mamdani,Write-In,Scott M. Stringer,Jessica Ramos,Brad Lander,1
Jessica Ramos,Brad Lander,Zohran Kwame Mamdani,Andrew M. Cuomo,Whitney R. Tilson,1
Michael Blake,Adrienne E. Adams,Andrew M. Cuomo,Michael Blake,Andrew M. Cuomo,1
Andrew M. Cuomo,Andrew M. Cuomo,Adrienne E. Adams,Brad Lander,Adrienne E. Adams,1
Michael Blake,Brad Lander,Andrew M. Cuomo,Zellnor Myrie,Jessica Ramos,1
Whitney R. Tilson,Michael Blake,Brad Lander,Write-In,,1
Zellnor Myrie,Jessica Ramos,Andrew M. Cuomo,Adrienne E. Adams,Michael Blake,1
Brad Lander,Scott M. Stringer,Andrew M. Cuomo,Brad Lander,Scott M. Stringer,1
Scott M. Stringer,Whitney R. Tilson,Jessica Ramos,Zellnor Myrie,Andrew M. Cuomo,1
Adrienne E. Adams,Michael Blake,Zohran Kwame Mamdani,Paperboy Love Prince,,1
Scott M. Stringer,Brad Lander,Zellnor Myrie,Jessica Ramos,Paperboy Love Prince,1
Adrienne E. Adams,Zohran Kwame Mamdani,Zohran Kwame Mamdani,Andrew M. Cuomo,,1
Scott M. Stringer,Michael Blake,Adrienne E. Adams,Whitney R. Tilson,Brad Lander,1
Zohran Kwame Mamdani,Zohran Kwame Mamdani,Jessica Ramos,Jessica Ramos,Zohran Kwame Mamdani,1
Zohran Kwame Mamdani,Zellnor Myrie,Michael Blake,Michael Blake,Adrienne E. Adams,1
Whitney R. Tilson,Zohran Kwame Mamdani,Brad Lander,Scott M. Stringer,Adrienne E. Adams,1
Zohran Kwame Mamdani,Paperboy Love Prince,Jessica Ramos,Write-In,Write-In,1
Michael Blake,Brad Lander,Andrew M. Cuomo,Scott M. Stringer,Jessica Ramos,1
Zohran Kwame Mamdani,Zellnor Myrie,Paperboy Love Prince,Adrienne E. Adams,Write-In,1
Adrienne E. Adams,Jessica Ramos,Scott M. Stringer,Paperboy Love Prince,Brad Lander,1
Jessica Ramos,Zohran Kwame Mamdani,Brad Lander,Michael Blake,Paperboy Love Prince,1
Zohran Kwame Mamdani,Brad Lander,Write-In,Zellnor Myrie,Whitney R. Tilson,1
Adrienne E. Adams,Zohran Kwame Mamdani,Selma K. Bartholomew,Zellnor Myrie,Paperboy Love Prince,1
Zohran Kwame Mamdani,Jessica Ramos,Scott M. Stringer,Michael Blake,Scott M. Stringer,1
Zohran Kwame Mamdani,Brad Lander,Whitney R. Tilson,Paperboy Love Prince,Michael Blake,1
Jessica Ramos,Andrew M. Cuomo,Brad Lander,Paperboy Love Prince,Selma K. Bartholomew,1
Brad Lander,Adrienne E. Adams,Zellnor Myrie,Write-In,Michael Blake,1
Adrienne E. Adams,Zellnor Myrie,Selma K. Bartholomew,Zohran Kwame Mamdani,Jessica Ramos,1
Zellnor Myrie,Brad Lander,Andrew M. Cuomo,Scott M. Stringer,Michael Blake,1
Scott M. Stringer,Zohran Kwame Mamdani,Brad Lander,Paperboy Love Prince,Jessica Ramos,1
Brad Lander,Zellnor Myrie,Jessica Ramos,Scott M. Stringer,Selma K. Bartholomew,1
Scott M. Stringer,Andrew M. Cuomo,Whitney R. Tilson,Paperboy Love Prince,Zellnor Myrie,1
Michael Blake,Paperboy Love Prince,Brad Lander,Zohran Kwame Mamdani,Adrienne E. Adams,1
Brad Lander,Adrienne E. Adams,Jessica Ramos,Paperboy Love Prince,Scott M. Stringer,1
Paperboy Love Prince,Brad Lander,Adrienne E. Adams,Scott M. Stringer,,1
